"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WSFG"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-06",," 1412","0.5",,"23.9","10.0","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-07",," 1542","0.0",,"19.4","10.6","10.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-08",," 1700","0.0",,"17.8","10.6","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-09",," 1418","0.0",,"15.6","9.4","16.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-10",," 0354","0.0",,"15.0","8.9","14.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-11",," 1854","1.0",,"16.1","9.4","18.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-12",," 1724","0.0",,"16.7","8.3","15.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-13",," 1554","0.0",,"17.2","10.6","14.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-14",," 1800","0.3",,"16.7","8.9","18.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-15",," 1712","0.0",,"16.1","7.8","20.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-16",," 1718","0.0",,"18.9","5.0","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-17",," 1506","0.0",,"16.7","6.1","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-18",," 1042","0.0",,"19.4","10.6","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-19",," 1518","0.0",,"18.3","10.0","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-20",," 1806","0.0",,"18.3","8.9","18.5"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-21",," 1654","0.0",,"15.6","7.2","24.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-22",," 0000","0.3",,"13.9","6.1","17.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-23",," 1454","1.5",,"14.4","5.0","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-24",," 1530","0.0",,"16.1","3.9","8.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-25",," 1436","0.0",,"17.8","8.3","9.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-26",," 1754","10.9",,"13.9","7.2","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-27",," 1442","4.1",,"15.0","8.9","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-28",," 1512","0.0",,"15.6","7.8","15.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-29",," 1854","0.0",,"18.3","7.8","15.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-30",," 1518","0.0",,"16.1","9.4","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-01",," 2248","0.0",,"17.8","8.3","13.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-02",," 0112","0.0",,"15.0","9.4","15.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-03",," 2354","5.1",,"15.6","8.9","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-04",," 1936","0.0",,"16.1","8.3","15.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-05",," 1442","0.0",,"18.3","6.7","15.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-06",," 1718","0.0",,"21.1","8.3","15.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-07",," 1554","0.0",,"21.7","11.1","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-08",," 1624","0.0",,"17.2","10.0","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-09",," 1936","0.0",,"21.7","7.8","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-10",," 1654","0.0",,"23.3","11.1","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-11",," 1724","0.0",,"22.8","12.2","10.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-12",," 1936","0.0",,"20.0","11.7","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-13",," 1854","0.0",,"19.4","8.9","15.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-14",," 1754","0.0",,"17.8","10.6","22.6"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-15",," 1736","0.0",,"16.7","10.0","20.6"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-16",," 1554","0.0",,"17.8","10.0","18.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-17",," 1448","0.0",,"17.8","8.9","24.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-18",," 1800","0.0",,"18.9","8.9","17.5"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-19",," 1824","0.0",,"24.4","8.3","15.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-20",," 1024","0.0",,"18.9","9.4","13.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-21",," 1554","0.0",,"16.7","8.3","18.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-22",," 1342","0.0",,"17.2","7.2","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-23",," 1354","5.1",,"15.6","10.0","14.4"
